date,team_1,team_2,outcome,recording_id
2024-09-05T20:00,[white]adam_dobro_pablop_adi_dmytro,[black]maarten_thijs_thibaut_joachim_reza,1,
2024-09-12T20:00,[white]adam_akbar_pablo_adi_lars,[black]maarten_thijs_thibaut_joachim_luca,1,
2024-09-19T20:00,[white]dobro_giovanni_tchi_maarten_thijs,[black]luca_adam_reza_baris_firat,1,
2024-09-24T20:00,[white]adi_akbar_bishoy_giovanni_luca,[black]adam_baris_dobro_reza_wouter,1,
2024-10-01T20:00,[white]luca_dobro_adam_maarten_kieran,[black]onur_bishoy_akbar_giovanni_thijs,1,
2024-10-03T20:00,[white]adam_adi_joachim_maarten_sander,[black]giovanni_iman_lars_pablo_thijs,1,
2024-10-08T20:00,[white]dobro_baris_renaud_pablo_dmytro,[black]luca_dries_akbar_giovanni_onur,1,
2024-10-17T20:00,[white]bishoy_pablo_renaud_giovanni_tchi,[black]kieran_dmytro_dobro_sander_wouter,1,
2024-10-22T20:00,[white]bishoy_firat_johan_pablo_sander,[black]alex_dmytro_baris_luca_dobro,1,
2024-10-29T20:00,[white]adi_akbar_gregor_pablop_wouter,[black]adam_bishoy_dobro_renaud_luca,1,
2024-11-05T20:00,[white]adam_bram_giovanni_luca_pablo,[black]akbar_arne_bishoy_ensar_renaud,1,
2024-11-12T20:00,[white]bishoy_bram_dobro_pablo_wouter,[black]adam_giovanni_luca_sander_tchi,1,
2024-11-19T20:00,[white]luca_dmytro_bram_giovanni_ensar,[black]sizwe_baris_renaud_miro_adam,1,
2024-11-26T20:00,[white]baris_bishoy_bram_pablo_sizwe,[black]adam_alex_giovanni_lars_renaud,1,
2024-11-26T20:00,[white]akbar_firat_miro_cedric_thijs,[black]dmytro_dobro_luca_shawn_wouter,1,
2024-11-26T20:00,[white]baris_bishoy_bram_pablo_sizwe,[black]akbar_firat_miro_cedric_thijs,1,
2024-11-26T20:00,[white]dmytro_dobro_luca_shawn_wouter,[black]adam_alex_giovanni_lars_renaud,1,
2024-12-03T20:00,[white]alex_bishoy_miro_renaud_wouter,[black]adam_dobro_firat_sander_sizwe,1,
2024-12-12T20:00,[white]bishoy_dobro_pablo_tchi_wouter,[black]adi_bram_dmytro_luca_renaud,1,
2025-01-07T20:00,[white]adam_baris_pablo_renaud_tchi,[black]bram_dobro_onur_shawn_sizwe,1,
2025-02-02T20:00,[white]adam_jay_pablo_renaud_sizwe,[black]arne_baris_bishoy_reza_shawn,1,
