id,alias
pablo,Pablo OG
wouter,Wouter
adi,Adi
sizwe,Sizwe
sandero,Sander
bram,Bram
adam,Adam
alex,Alex
johan,Johan
finnian,Finnian
dobro,Dobromil
maarten,Maarten
luca,Luca
renaud,Renaud
gio,Giovanni
lars,Lars
sander,Sandero
victor,Victor
baris,Baris
karim,Karim
nima,Nima
raphael,Raphael
dmitro,Dmitro
miro,Miro
tchi,Tchi
onur,Onur
